output_type,parameter_type,region,origin,destination,coefficient,std_error,z_value,wald_statistic,p_value,multiplicative_factor,flow,predicted_flow,residual,distance_value
parameter,intercept,global_system,NA,NA,15.782994324985463,1.616066382380139e-4,97663.03226814422,9538067871.808578,0,7152656.0769708585,NA,NA,NA,NA
parameter,distance,distance,NA,NA,-0.026635324112478258,3.910320982954628e-6,-6811.544174655626,46397134.043285,0,0.9737162676297645,NA,NA,NA,NA
parameter,economic_disparity,cv_pdrb,NA,NA,0.11393725179196909,2.1269670177303916e-4,535.6794479753962,286952.4709832252,0,1.1206818019030134,NA,NA,NA,NA
parameter,origin,Bekasi,NA,NA,0.5183889078487547,1.7318545263056437e-4,2993.2589601193076,8959599.20233452,0,1.679319929932994,NA,NA,NA,NA
parameter,origin,Bogor,NA,NA,0.829823046530119,1.1970270289238037e-4,6932.3668261374,48057709.812130325,0,2.2929129654582385,NA,NA,NA,NA
parameter,origin,Jakarta Barat,NA,NA,-0.01336141303697598,1.5343166010385134e-4,-87.08380674452854,7583.589397118395,0,0.986727454403694,NA,NA,NA,NA
parameter,origin,Jakarta Pusat,NA,NA,-0.6167762189600625,1.901185629646839e-4,-3244.1662157662836,10524614.435519328,0,0.5396814510442806,NA,NA,NA,NA
parameter,origin,Jakarta Selatan,NA,NA,0.07979184540216708,1.415738043283988e-4,563.6059988688271,317651.72196092835,0,1.083061599957934,NA,NA,NA,NA
parameter,origin,Jakarta Timur,NA,NA,0.31078049048703893,1.3731929117464337e-4,2263.1961454839343,5122056.792933337,0,1.3644896698473112,NA,NA,NA,NA
parameter,origin,Jakarta Utara,NA,NA,-0.0318212419603819,1.577542947239321e-4,-201.71395026720919,40688.51773240214,0,0.9686797258921305,NA,NA,NA,NA
parameter,origin,Kota Bekasi,NA,NA,0.018730637353572912,1.5286067913334607e-4,122.53404511721081,15014.592212786654,0,1.0189071561220187,NA,NA,NA,NA
parameter,origin,Kota Bogor,NA,NA,-0.633953929851804,2.3216301867149156e-4,-2730.6413117794727,7456401.97359672,0,0.530490128057828,NA,NA,NA,NA
parameter,origin,Kota Depok,NA,NA,0.051283247805767526,1.4882090074349726e-4,344.59707977549215,118747.1473897969,0,1.052621003651246,NA,NA,NA,NA
parameter,origin,Kota Tangerang,NA,NA,-3.877853972638751e-4,1.6254047001823681e-4,-2.385777506490329,5.691934310475211,0.017043058584305104,0.9996122897817752,NA,NA,NA,NA
parameter,origin,Kota Tangerang Selatan,NA,NA,-0.49009539893625736,1.8589928717958304e-4,-2636.3489950492053,6950336.023696954,0,0.6125679530657423,NA,NA,NA,NA
parameter,origin,Tangerang,NA,NA,-0.022402187284674465,2.066769537271814e-4,-108.39228506457424,11748.887461519924,0,0.9778468783741446,NA,NA,NA,NA
parameter,destination,Bekasi,NA,NA,0.34992037377578766,1.8676556176249343e-4,1873.5808169001489,3510305.0774562294,0,1.4189545581010234,NA,NA,NA,NA
parameter,destination,Bogor,NA,NA,0.8032934788960305,1.2088607932126172e-4,6645.045346877632,44156627.662060075,0,2.232882784059467,NA,NA,NA,NA
parameter,destination,Jakarta Barat,NA,NA,0.022606580788799114,1.5010330658154244e-4,150.60681409118902,22682.41245069797,0,1.0228640460119165,NA,NA,NA,NA
parameter,destination,Jakarta Pusat,NA,NA,-0.3122795218085073,1.6459101668933834e-4,-1897.3059896575494,3599770.018390413,0,0.731776952020836,NA,NA,NA,NA
parameter,destination,Jakarta Selatan,NA,NA,0.07985539421678248,1.406275137315616e-4,567.8504305296568,322454.1114527166,0,1.0831304294257593,NA,NA,NA,NA
parameter,destination,Jakarta Timur,NA,NA,0.4227269758049914,1.3002785534307375e-4,3251.049359305679,10569321.936641866,0,1.5261175720595908,NA,NA,NA,NA
parameter,destination,Jakarta Utara,NA,NA,0.038060260900114794,1.516029960858241e-4,251.05216837910294,63027.191247849456,0,1.038793829643618,NA,NA,NA,NA
parameter,destination,Kota Bekasi,NA,NA,-0.04987486293562195,1.5750331467773173e-4,-316.6591321437973,100273.00597006289,0,0.951348466006543,NA,NA,NA,NA
parameter,destination,Kota Bogor,NA,NA,-0.36692227915587594,2.0024460912745017e-4,-1832.3703232497012,3357581.0015262146,0,0.6928634928873446,NA,NA,NA,NA
parameter,destination,Kota Depok,NA,NA,-0.13488479969758638,1.6048356660992597e-4,-840.4897931103415,706423.0923226646,0,0.873816569823097,NA,NA,NA,NA
parameter,destination,Kota Tangerang,NA,NA,-0.026047247580999563,1.6448761027905247e-4,-158.3538573927272,25075.944151156185,0,0.9742890557201859,NA,NA,NA,NA
parameter,destination,Kota Tangerang Selatan,NA,NA,-0.7269786656927514,2.0759352154996966e-4,-3501.9332986157806,12263536.827954002,0,0.4833672000155032,NA,NA,NA,NA
parameter,destination,Tangerang,NA,NA,-0.09947568751116347,2.1411957668745717e-4,-464.58006806339165,215834.63964178562,0,0.9053119599878673,NA,NA,NA,NA
parameter,model_fit,Pseudo_R2_McFadden,NA,NA,0.8448317692773366,NA,NA,NA,NA,NA,NA,NA,NA,NA
parameter,model_fit,Deviance_Explained,NA,NA,0.8448413093376593,NA,NA,NA,NA,NA,NA,NA,NA,NA
parameter,model_fit,AIC,NA,NA,35642564.39312984,NA,NA,NA,NA,NA,NA,NA,NA,NA
parameter,model_fit,BIC,NA,NA,35642646.73924204,NA,NA,NA,NA,NA,NA,NA,NA,NA
parameter,model_fit,LogLikelihood,NA,NA,-17821255.19656492,NA,NA,NA,NA,NA,NA,NA,NA,NA
prediction,NA,NA,Bekasi,Kota Bekasi,NA,NA,NA,NA,NA,NA,5919203,5528853.913817506,390349.0861824937,29.732
prediction,NA,NA,Bekasi,Jakarta Timur,NA,NA,NA,NA,NA,NA,4482449,6903452.738223669,-2421003.738223669,37.062
prediction,NA,NA,Bekasi,Jakarta Selatan,NA,NA,NA,NA,NA,NA,2729966,3579446.8959783814,-849480.8959783814,49.398
prediction,NA,NA,Bekasi,Jakarta Utara,NA,NA,NA,NA,NA,NA,2672575,3217028.216774661,-544453.2167746611,51.472
prediction,NA,NA,Bekasi,Jakarta Barat,NA,NA,NA,NA,NA,NA,2257559,2416750.0929782484,-159191.09297824837,61.407
prediction,NA,NA,Bekasi,Jakarta Pusat,NA,NA,NA,NA,NA,NA,1649545,2170388.547621141,-520843.5476211412,53.602
prediction,NA,NA,Bekasi,Kota Tangerang,NA,NA,NA,NA,NA,NA,1798068,1716743.3357947045,81324.6642052955,73.739
prediction,NA,NA,Bekasi,Kota Depok,NA,NA,NA,NA,NA,NA,2925214,3095638.977054926,-170424.9770549261,48.859
prediction,NA,NA,Bekasi,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1489654,1116576.5396700944,373077.4603299056,64.733
prediction,NA,NA,Bekasi,Bogor,NA,NA,NA,NA,NA,NA,9683231,6841623.169292797,2841607.8307072027,52.367
prediction,NA,NA,Bekasi,Kota Bogor,NA,NA,NA,NA,NA,NA,2161108,1748445.447242258,412662.5527577421,61.93
prediction,NA,NA,Bekasi,Tangerang,NA,NA,NA,NA,NA,NA,1485330,918954.1283895364,566375.8716104636,94.704
prediction,NA,NA,Bogor,Kota Depok,NA,NA,NA,NA,NA,NA,10945261,11319189.56991217,-373928.5699121691,11.218
prediction,NA,NA,Bogor,Kota Bogor,NA,NA,NA,NA,NA,NA,5729654,7995413.935304292,-2265759.9353042915,16.033
prediction,NA,NA,Bogor,Jakarta Utara,NA,NA,NA,NA,NA,NA,4886414,5343402.3490113495,-456988.3490113495,45.136
prediction,NA,NA,Bogor,Jakarta Timur,NA,NA,NA,NA,NA,NA,8934566,8768696.439342385,165869.56065761484,40.818
prediction,NA,NA,Bogor,Jakarta Selatan,NA,NA,NA,NA,NA,NA,10448992,8141879.559775136,2307112.4402248636,31.206
prediction,NA,NA,Bogor,Kota Tangerang,NA,NA,NA,NA,NA,NA,3690695,4413170.3560663,-722475.3560662996,48.973
prediction,NA,NA,Bogor,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,2992741,3900509.5881435266,-907768.5881435266,28.74
